               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.020126,            0.021202,           0.0024482,             0.59419,             0.52882,             0.55076,             0.34957,            0.028214,            0.046506,            0.026901,           0.0076438,           0.0076438,           0.0076438
                 121,            0.019527,            0.020619,           0.0024873,             0.57016,             0.49088,             0.52423,             0.33522,            0.028365,            0.050046,            0.028693,            0.007624,            0.007624,            0.007624
                 122,            0.020588,            0.021621,           0.0025585,             0.54515,             0.50991,             0.48992,             0.31056,            0.029778,            0.051907,            0.028724,           0.0076042,           0.0076042,           0.0076042
                 123,            0.019779,            0.020313,           0.0025001,             0.56835,             0.53637,             0.53002,             0.33997,            0.028247,            0.046579,            0.032125,           0.0075844,           0.0075844,           0.0075844
                 124,            0.019768,             0.02098,           0.0022589,             0.51566,             0.55624,             0.51405,             0.32878,            0.027847,            0.046765,            0.032605,           0.0075646,           0.0075646,           0.0075646
                 125,            0.019931,            0.020947,            0.002204,             0.56659,             0.55926,             0.53272,             0.34398,            0.028314,            0.049987,            0.030035,           0.0075448,           0.0075448,           0.0075448
                 126,            0.019622,            0.020563,           0.0018649,             0.59976,             0.55837,             0.55386,             0.35587,            0.027897,            0.046894,             0.02752,            0.007525,            0.007525,            0.007525
                 127,            0.019831,            0.020736,           0.0028052,             0.61666,             0.51436,             0.53771,             0.34724,            0.028196,            0.050168,            0.025733,           0.0075052,           0.0075052,           0.0075052
                 128,            0.019895,            0.021049,           0.0027857,              0.5831,             0.53117,             0.54657,             0.34594,            0.028108,            0.048428,            0.027818,           0.0074854,           0.0074854,           0.0074854
                 129,            0.019146,            0.020839,            0.001999,             0.60626,             0.48863,             0.53093,             0.34262,             0.02816,            0.049217,             0.03167,           0.0074656,           0.0074656,           0.0074656
                 130,            0.019393,            0.020764,           0.0026846,             0.54363,             0.55517,             0.53929,             0.34259,            0.027877,            0.046695,            0.030208,           0.0074458,           0.0074458,           0.0074458
                 131,               0.019,            0.020914,           0.0021493,             0.59088,             0.51373,             0.54865,             0.34391,             0.02834,            0.045906,            0.028806,            0.007426,            0.007426,            0.007426
                 132,            0.019319,             0.02043,           0.0022708,             0.58173,             0.52801,             0.52695,             0.33642,            0.028611,            0.049248,            0.027888,           0.0074062,           0.0074062,           0.0074062
                 133,            0.019348,            0.020491,           0.0025321,             0.59291,              0.4998,             0.51747,             0.33385,            0.028204,            0.048817,            0.029984,           0.0073864,           0.0073864,           0.0073864
                 134,            0.018838,            0.019843,           0.0027664,             0.58903,             0.52047,             0.51728,             0.33258,            0.028368,            0.050348,            0.032921,           0.0073666,           0.0073666,           0.0073666
                 135,             0.01929,            0.021119,           0.0023191,             0.57267,             0.52733,             0.53805,             0.35066,             0.02771,            0.047406,            0.031428,           0.0073468,           0.0073468,           0.0073468
                 136,             0.01972,            0.020324,           0.0024119,             0.58134,             0.52119,             0.52613,             0.33554,            0.028704,            0.051453,            0.027826,            0.007327,            0.007327,            0.007327
                 137,            0.019005,            0.020518,             0.00242,             0.52493,             0.56352,             0.51448,             0.33209,            0.027475,            0.046239,            0.030831,           0.0073072,           0.0073072,           0.0073072
